지역, 온도,습기
강릉,22.2,21
강진군,22.3,49
강화,14.0,67
거제,19.8,57
거창,21.8,24
경주시,24.3,22
고산,18.7,80
고창,19.1,42
고창군,19.6,36
고흥,21.4,49
광양시,22.4,49
광주,22.5,19
구미,21.3,24
군산,15.7,78
금산,19.3,30
김해시,20.9,52
남원,21.0,27
남해,21.9,49
대관령,14.5,22
대구,22.2,41
대전,20.7,33
동두천,16.7,49
동해,18.8,37
목포,19.0,64
문경,19.7,28
밀양,24.5,20
백령도,14.8,52
보령,15.8,68
보성군,22.3,49
보은,19.0,36
봉화,17.5,29
부산,18.7,68
부안,16.6,78
부여,20.0,37
북강릉,21.5,19
북창원,22.4,51
북춘천,18.8,32
산청,22.3,25
상주,20.0,30
서귀포,18.3,80
서산,16.4,60
서울,17.7,43
성산,19.6,55
세종,19.4,30
속초,21.1,19
수원,16.8,59
순창군,20.7,29
순천,22.7,30
안동,20.3,22
양산시,21.8,53
양평,19.4,26
여수,20.6,59
영광군,19.0,41
영덕,21.5,21
영월,19.3,23
영주,19.3,26
영천,22.1,24
완도,21.3,57
울릉도,21.2,73
울산,22.6,45
울진,22.9,24
원주,19.7,22
의령군,25.1,28
의성,21.2,26
이천,20.0,29
인제,18.2,28
인천,14.0,65
임실,18.7,31
장수,18.3,29
장흥,22.6,48
전주,19.6,32
정선군,19.1,18
정읍,18.8,34
제주,18.2,72
제천,19.0,28
진도군,19.8,63
진주,22.5,47
창원,21.7,48
천안,20.0,29
철원,17.5,35
청송군,20.5,7
청주,20.2,31
추풍령,18.5,31
춘천,19.1,29
충주,20.0,21
태백,16.1,27
통영,17.7,81
파주,16.3,61
포항,24.1,22
함양군,22.2,12
합천,23.9,27
해남,21.7,54
홍성,18.0,47
홍천,19.2,19
흑산도,14.8,89
