point, temp, hum
강릉,23.6,18
강진군,23.1,39
강화,12.9,83
거제,21.3,54
거창,22.3,22
경주시,24.0,28
고산,20.2,81
고창,20.7,35
고창군,20.4,32
고흥,22.0,44
광양시,23.1,44
광주,22.1,31
구미,22.3,22
군산,17.7,71
금산,19.4,34
김해시,23.0,52
남원,21.6,33
남해,21.7,51
대관령,15.7,27
대구,23.8,41
대전,20.3,38
동두천,17.5,59
동해,20.7,30
목포,18.0,73
문경,19.6,31
밀양,23.1,29
백령도,15.7,55
보령,14.3,81
보성군,21.8,58
보은,19.1,37
봉화,16.8,27
부산,19.5,68
부안,17.2,74
부여,19.1,48
북강릉,22.3,14
북창원,23.6,38
북춘천,18.5,41
산청,23.3,26
상주,20.6,34
서귀포,19.3,83
서산,17.3,59
서울,17.3,56
성산,20.8,55
세종,18.3,40
속초,22.3,20
수원,18.5,54
순창군,22.0,24
순천,22.9,32
안동,20.4,27
양산시,23.9,49
양평,20.2,38
여수,20.7,57
영광군,20.3,28
영덕,22.0,25
영월,19.5,34
영주,18.6,32
영천,23.0,23
완도,22.1,56
울릉도,23.9,57
울산,22.5,46
울진,22.8,21
원주,19.5,32
의령군,24.2,35
의성,21.7,29
이천,21.2,34
인제,18.2,30
인천,13.3,70
임실,20.1,30
장수,19.5,23
장흥,23.5,37
전주,19.9,39
정선군,20.9,15
정읍,19.9,36
제주,19.1,72
제천,19.0,28
진도군,21.0,64
진주,23.1,41
창원,22.7,44
천안,18.4,40
철원,17.5,40
청송군,21.7,9
청주,19.0,39
추풍령,18.8,25
춘천,18.9,37
충주,19.4,38
태백,16.5,28
통영,18.8,79
파주,15.4,71
포항,23.7,28
함양군,23.0,12
합천,24.4,23
해남,22.3,46
홍성,18.8,45
홍천,19.7,24
흑산도,16.2,88
